Date;Heures;Conso_stade;Conso_scolaire;Conso_inactif;Conso_Actif;Solaire
04/01/2020;10:00;0.231;1.8;1.7;1.2;2269
04/01/2020;11:00;0.2475;2.1;1.9;1.1;2734
04/01/2020;12:00;0.297;1.95;2.1;1.6;2680
04/01/2020;13:00;0.2805;2.25;2.15;1.8;2284
04/01/2020;14:00;0.2541;1.95;2.45;1.5;1465
04/01/2020;15:00;0.2904;2.01;2.5;1.4;557
04/01/2020;16:00;0.3102;1.8;2.51;1.55;139
04/01/2020;17:00;0.528;2.1;2.35;1.9;0
04/01/2020;18:00;0.627;2.67;2.62;2.55;0
04/01/2020;19:00;0.66;2.25;2.65;2.7;0
04/01/2020;20:00;0.627;1.95;2.7;2;0
04/01/2020;21:00;0.597;2.1;2.83;2.4;0
04/01/2020;22:00;0.561;1.8;2.9;2.5;0
04/01/2020;23:00;0.528;2.13;3.1;1.9;0
05/01/2020;00:00;0.594;0.9;1.47;1.8;0
05/01/2020;01:00;0.561;0.7;1.1;1.1;0
05/01/2020;02:00;0.363;0.6;0.9;0.73;0
05/01/2020;03:00;0.3465;0.65;0.85;0.67;0
05/01/2020;04:00;0.33;0.5;0.62;0.67;0
05/01/2020;05:00;0.396;0.7;0.6;0.59;0
05/01/2020;06:00;0.363;1.86;0.58;1.3;0
05/01/2020;07:00;0.297;1.89;1;1.9;181
05/01/2020;08:00;0.297;1.9;1.3;2.4;820
05/01/2020;09:00;0.2805;1.92;1.4;2.5;2067
05/01/2020;10:00;0.231;1.8;1.6;2.47;3045
05/01/2020;11:00;0.2475;2;1.9;2;3506
05/01/2020;12:00;0.297;2.2;2.1;2.53;3504
05/01/2020;13:00;0.2805;1.2;2.15;2.8;3056
05/01/2020;14:00;0.2541;1.95;2.45;2.1;2032
05/01/2020;15:00;0.2904;1.83;2.5;1.9;746
05/01/2020;16:00;0.3102;1.8;2.51;2.06;149
05/01/2020;17:00;0.528;2.1;2.35;1.2;0
05/01/2020;18:00;0.627;2.7;2.62;2.57;0
05/01/2020;19:00;0.66;1.15;2.65;2.8;0
05/01/2020;20:00;0.627;1.95;2.7;2.9;0
05/01/2020;21:00;0.597;0.49;2.52;3.1;0
05/01/2020;22:00;0.561;1.8;2.1;2.87;0
05/01/2020;23:00;0.528;1.6;1.4;2.02;0
06/01/2020;00:00;0.561;2.64;0.86;0.86;0
06/01/2020;01:00;0.495;2.25;0.73;0.73;0
06/01/2020;02:00;0.297;1.95;0.6;0.9;0
06/01/2020;03:00;0.297;1.98;0.6;0.9;0
06/01/2020;04:00;0.297;1.8;0.6;0.9;0
06/01/2020;05:00;0.396;2.1;1;1.5;0
06/01/2020;06:00;0.363;3.9;1.8;2.7;0
06/01/2020;07:00;0.297;5.1;1.9;2.9;177
06/01/2020;08:00;0.297;9.3;1.6;2.4;749
06/01/2020;09:00;0.2805;10.8;1.2;1.8;1899
06/01/2020;10:00;0.264;12;0.53;0.9;2877
06/01/2020;11:00;0.264;12.6;0.54;0.8;3326
06/01/2020;12:00;0.264;11.1;0.53;0.95;3272
06/01/2020;13:00;0.264;6.6;0.53;1.1;2758
06/01/2020;14:00;0.264;11.7;0.53;1.05;1706
06/01/2020;15:00;0.297;12.3;0.55;0.9;568
06/01/2020;16:00;0.297;12.9;0.53;1.1;138
06/01/2020;17:00;0.528;14.1;1.2;1.8;0
06/01/2020;18:00;0.594;9.24;2.54;2.53;0
06/01/2020;19:00;0.627;7.5;2.27;2.26;0
06/01/2020;20:00;0.627;6.6;1.4;1.4;0
06/01/2020;21:00;0.594;5.7;1.87;1.86;0
06/01/2020;22:00;0.627;3.6;1.26;1.26;0
06/01/2020;23:00;0.561;3.3;1.2;1.2;0
07/01/2020;00:00;0.561;2.64;0.73;0.73;0
07/01/2020;01:00;0.495;2.25;0.6;0.6;0
07/01/2020;02:00;0.297;1.95;0.57;0.56;0
07/01/2020;03:00;0.297;1.98;0.56;0.56;0
07/01/2020;04:00;0.297;1.8;0.55;0.56;0
07/01/2020;05:00;0.396;2.1;1;1;0
07/01/2020;06:00;0.363;3.9;1.8;2.7;0
07/01/2020;07:00;0.297;5.1;1.9;2.9;164
07/01/2020;08:00;0.297;9.3;1.6;2.4;465
07/01/2020;09:00;0.2805;10.8;1.2;1.8;1049
07/01/2020;10:00;0.264;12;0.51;0.9;1549
07/01/2020;11:00;0.264;12.6;0.53;0.85;1937
07/01/2020;12:00;0.264;11.1;0.49;1;2033
07/01/2020;13:00;0.264;6.6;0.53;1.05;1681
07/01/2020;14:00;0.264;11.7;0.54;0.78;985
07/01/2020;15:00;0.297;12.3;0.53;0.92;400
07/01/2020;16:00;0.297;12.9;0.53;0.99;170
07/01/2020;17:00;0.528;14.1;1.2;1.2;0
07/01/2020;18:00;0.594;9.24;2.53;2.53;0
07/01/2020;19:00;0.627;7.5;2.26;2.26;0
07/01/2020;20:00;0.627;6.6;1.4;1.4;0
07/01/2020;21:00;0.594;5.7;1.86;1.86;0
07/01/2020;22:00;0.627;3.6;1.27;1.26;0
07/01/2020;23:00;0.561;3.3;1.2;1.2;0
08/01/2020;00:00;0.561;2.64;0.86;0.73;0
08/01/2020;01:00;0.495;2.25;0.73;0.6;0
08/01/2020;02:00;0.297;1.95;0.6;0.56;0
08/01/2020;03:00;0.297;1.98;0.6;0.57;0
08/01/2020;04:00;0.297;1.8;0.6;0.56;0
08/01/2020;05:00;0.396;2.1;1;1;0
08/01/2020;06:00;0.363;3.9;1.8;2.7;0
08/01/2020;07:00;0.297;5.1;1.9;2.9;204
08/01/2020;08:00;0.297;9.3;1.6;2.4;692
08/01/2020;09:00;0.2805;10.8;1.2;1.8;1661
08/01/2020;10:00;0.264;12;0.53;0.96;2319
08/01/2020;11:00;0.264;12.6;0.54;1.03;2622
08/01/2020;12:00;0.264;11.1;0.53;0.91;2650
08/01/2020;13:00;0.264;6.6;0.53;0.85;2342
08/01/2020;14:00;0.264;11.7;0.53;0.93;1645
08/01/2020;15:00;0.297;12.3;0.55;1.1;677
08/01/2020;16:00;0.297;12.9;0.53;0.69;173
08/01/2020;17:00;0.528;14.1;1.2;1.2;0
08/01/2020;18:00;0.594;9.24;2.54;2.53;0
08/01/2020;19:00;0.627;7.5;2.27;2.26;0
08/01/2020;20:00;0.627;6.6;1.4;1.4;0
08/01/2020;21:00;0.594;5.7;1.87;1.87;0
08/01/2020;22:00;0.627;3.6;1.26;1.26;0
08/01/2020;23:00;0.561;3.3;1.2;1.2;0
09/01/2020;00:00;0.561;2.64;0.73;0.73;0
09/01/2020;01:00;0.495;2.25;0.6;0.6;0
09/01/2020;02:00;0.297;1.95;0.57;0.56;0
09/01/2020;03:00;0.297;1.98;0.56;0.56;0
09/01/2020;04:00;0.297;1.8;0.55;0.56;0
09/01/2020;05:00;0.396;2.1;1;1;0
09/01/2020;06:00;0.363;3.9;1.8;2.7;0
09/01/2020;07:00;0.297;5.1;1.9;2.9;182
09/01/2020;08:00;0.297;9.3;1.6;2.4;754
09/01/2020;09:00;0.2805;10.8;1.2;1.8;1820
09/01/2020;10:00;0.264;12;0.51;0.9;2765
09/01/2020;11:00;0.264;12.6;0.53;0.85;3212
09/01/2020;12:00;0.264;11.1;0.49;1;3171
09/01/2020;13:00;0.264;6.6;0.53;1.05;2659
09/01/2020;14:00;0.264;11.7;0.54;0.78;1699
09/01/2020;15:00;0.297;12.3;0.53;0.92;557
09/01/2020;16:00;0.297;12.9;0.53;0.99;137
09/01/2020;17:00;0.528;14.1;1.2;1.2;0
09/01/2020;18:00;0.594;9.24;2.53;2.53;0
09/01/2020;19:00;0.627;7.5;2.26;2.26;0
09/01/2020;20:00;0.627;6.6;1.4;1.4;0
09/01/2020;21:00;0.594;5.7;1.86;1.86;0
09/01/2020;22:00;0.627;3.6;1.27;1.26;0
09/01/2020;23:00;0.561;3.3;1.2;1.2;0
10/01/2020;00:00;0.561;2.64;0.9;0.73;0
10/01/2020;01:00;0.495;2.25;0.85;0.6;0
10/01/2020;02:00;0.297;1.95;0.62;0.56;0
10/01/2020;03:00;0.297;1.98;0.6;0.57;0
10/01/2020;04:00;0.297;1.8;0.58;0.56;0
10/01/2020;05:00;0.396;2.1;1;1;0
10/01/2020;06:00;0.363;3.9;1.3;2.7;0
10/01/2020;07:00;0.297;5.1;1.9;2.9;151
10/01/2020;08:00;0.297;9.3;1.6;2.4;409
10/01/2020;09:00;0.2805;10.8;1.2;1.8;1052
10/01/2020;10:00;0.264;12;0.51;0.96;1776
10/01/2020;11:00;0.264;12.6;0.53;1.03;2073
10/01/2020;12:00;0.264;11.1;0.49;0.91;2131
10/01/2020;13:00;0.264;6.6;0.53;0.85;1751
10/01/2020;14:00;0.264;11.7;0.54;0.93;1224
10/01/2020;15:00;0.297;12.3;0.53;1.1;538
10/01/2020;16:00;0.297;12.9;0.53;0.69;170
10/01/2020;17:00;0.528;14.1;1.2;1.2;0
10/01/2020;18:00;0.594;9.24;1.7;2.53;0
10/01/2020;19:00;0.627;7.5;2.83;2.26;0
10/01/2020;20:00;0.627;6.6;2.9;2.3;0
10/01/2020;21:00;0.594;5.7;3.1;2.51;0
10/01/2020;22:00;0.627;3.6;3.4;2.6;0
10/01/2020;23:00;0.561;3.3;2.8;1.8;0
11/01/2020;00:00;0.594;2.64;1.95;0.73;0
11/01/2020;01:00;0.561;2.25;1.2;0.65;0
11/01/2020;02:00;0.363;1.95;0.9;0.58;0
11/01/2020;03:00;0.3465;1.98;0.85;0.57;0
11/01/2020;04:00;0.33;1.8;0.62;0.56;0
11/01/2020;05:00;0.396;2.1;0.6;0.9;0
11/01/2020;06:00;0.363;2.4;0.58;1.9;0
11/01/2020;07:00;0.297;2.1;1;2.9;210
11/01/2020;08:00;0.297;1.95;1.3;2.4;864
11/01/2020;09:00;0.2805;1.98;1.5;1.8;2189
11/01/2020;10:00;0.231;1.8;1.7;1.2;3261
11/01/2020;11:00;0.2475;2.1;1.9;1.1;3775
11/01/2020;12:00;0.297;1.95;2.1;1.6;3766
11/01/2020;13:00;0.2805;2.25;2.15;1.8;3255
11/01/2020;14:00;0.2541;1.95;2.45;1.5;2216
11/01/2020;15:00;0.2904;2.01;2.5;1.4;866
11/01/2020;16:00;0.3102;1.8;2.51;1.55;184
11/01/2020;17:00;0.528;2.1;2.35;1.9;0
11/01/2020;18:00;0.627;2.67;2.62;2.55;0
11/01/2020;19:00;0.66;2.25;2.65;2.7;0
11/01/2020;20:00;0.627;1.95;2.7;2;0
11/01/2020;21:00;0.597;2.1;2.83;2.4;0
11/01/2020;22:00;0.561;1.8;2.9;2.5;0
11/01/2020;23:00;0.528;2.13;3.1;1.9;0
12/01/2020;00:00;0.594;0.9;1.47;1.8;0
12/01/2020;01:00;0.561;0.7;1.1;1.1;0
12/01/2020;02:00;0.363;0.6;0.9;0.73;0
12/01/2020;03:00;0.3465;0.65;0.85;0.67;0
12/01/2020;04:00;0.33;0.5;0.62;0.67;0
12/01/2020;05:00;0.396;0.7;0.6;0.59;0
12/01/2020;06:00;0.363;1.86;0.58;1.3;0
12/01/2020;07:00;0.297;1.89;1;1.9;223
12/01/2020;08:00;0.297;1.9;1.3;2.4;945
12/01/2020;09:00;0.2805;1.92;1.4;2.5;2252
12/01/2020;10:00;0.231;1.8;1.6;2.47;3167
12/01/2020;11:00;0.2475;2;1.9;2;3371
12/01/2020;12:00;0.297;2.2;2.1;2.53;3298
12/01/2020;13:00;0.2805;1.2;2.15;2.8;2833
12/01/2020;14:00;0.2541;1.95;2.45;2.1;1818
12/01/2020;15:00;0.2904;1.83;2.5;1.9;685
12/01/2020;16:00;0.3102;1.8;2.51;2.06;174
12/01/2020;17:00;0.528;2.1;2.35;1.2;0
12/01/2020;18:00;0.627;2.7;2.62;2.57;0
12/01/2020;19:00;0.66;1.15;2.65;2.8;0
12/01/2020;20:00;0.627;1.95;2.7;2.9;0
12/01/2020;21:00;0.597;0.49;2.52;3.1;0
12/01/2020;22:00;0.561;1.8;2.1;2.87;0
12/01/2020;23:00;0.528;1.6;1.4;2.02;0
13/01/2020;00:00;0.561;2.64;0.86;0.86;0
13/01/2020;01:00;0.495;2.25;0.73;0.73;0
13/01/2020;02:00;0.297;1.95;0.6;0.9;0
13/01/2020;03:00;0.297;1.98;0.6;0.9;0
13/01/2020;04:00;0.297;1.8;0.6;0.9;0
13/01/2020;05:00;0.396;2.1;1;1.5;0
13/01/2020;06:00;0.363;3.9;1.8;2.7;0
13/01/2020;07:00;0.297;5.1;1.9;2.9;211
13/01/2020;08:00;0.297;9.3;1.6;2.4;710
13/01/2020;09:00;0.2805;10.8;1.2;1.8;1527
13/01/2020;10:00;0.264;12;0.53;0.9;2282
13/01/2020;11:00;0.264;12.6;0.54;0.8;2859
13/01/2020;12:00;0.264;11.1;0.53;0.95;2989
13/01/2020;13:00;0.264;6.6;0.53;1.1;2506
13/01/2020;14:00;0.264;11.7;0.53;1.05;1620
13/01/2020;15:00;0.297;12.3;0.55;0.9;626
13/01/2020;16:00;0.297;12.9;0.53;1.1;184
13/01/2020;17:00;0.528;14.1;1.2;1.8;0
13/01/2020;18:00;0.594;9.24;2.54;2.53;0
13/01/2020;19:00;0.627;7.5;2.27;2.26;0
13/01/2020;20:00;0.627;6.6;1.4;1.4;0
13/01/2020;21:00;0.594;5.7;1.87;1.86;0
13/01/2020;22:00;0.627;3.6;1.26;1.26;0
13/01/2020;23:00;0.561;3.3;1.2;1.2;0
14/01/2020;00:00;0.561;2.64;0.73;0.73;0
14/01/2020;01:00;0.495;2.25;0.6;0.6;0
14/01/2020;02:00;0.297;1.95;0.57;0.56;0
14/01/2020;03:00;0.297;1.98;0.56;0.56;0
14/01/2020;04:00;0.297;1.8;0.55;0.56;0
14/01/2020;05:00;0.396;2.1;1;1;0
14/01/2020;06:00;0.363;3.9;1.8;2.7;0
14/01/2020;07:00;0.297;5.1;1.9;2.9;197
14/01/2020;08:00;0.297;9.3;1.6;2.4;661
14/01/2020;09:00;0.2805;10.8;1.2;1.8;1621
14/01/2020;10:00;0.264;12;0.51;0.9;2355
14/01/2020;11:00;0.264;12.6;0.53;0.85;2594
14/01/2020;12:00;0.264;11.1;0.49;1;2676
14/01/2020;13:00;0.264;6.6;0.53;1.05;2277
14/01/2020;14:00;0.264;11.7;0.54;0.78;1662
14/01/2020;15:00;0.297;12.3;0.53;0.92;724
14/01/2020;16:00;0.297;12.9;0.53;0.99;171
14/01/2020;17:00;0.528;14.1;1.2;1.2;0
14/01/2020;18:00;0.594;9.24;2.53;2.53;0
14/01/2020;19:00;0.627;7.5;2.26;2.26;0
14/01/2020;20:00;0.627;6.6;1.4;1.4;0
14/01/2020;21:00;0.594;5.7;1.86;1.86;0
14/01/2020;22:00;0.627;3.6;1.27;1.26;0
14/01/2020;23:00;0.561;3.3;1.2;1.2;0
15/01/2020;00:00;0.561;2.64;0.86;0.73;0
15/01/2020;01:00;0.495;2.25;0.73;0.6;0
15/01/2020;02:00;0.297;1.95;0.6;0.56;0
15/01/2020;03:00;0.297;1.98;0.6;0.57;0
15/01/2020;04:00;0.297;1.8;0.6;0.56;0
15/01/2020;05:00;0.396;2.1;1;1;0
15/01/2020;06:00;0.363;3.9;1.8;2.7;0
15/01/2020;07:00;0.297;5.1;1.9;2.9;169
15/01/2020;08:00;0.297;9.3;1.6;2.4;535
15/01/2020;09:00;0.2805;10.8;1.2;1.8;1341
15/01/2020;10:00;0.264;12;0.53;0.96;2094
15/01/2020;11:00;0.264;12.6;0.54;1.03;2497
15/01/2020;12:00;0.264;11.1;0.53;0.91;2253
15/01/2020;13:00;0.264;6.6;0.53;0.85;1647
15/01/2020;14:00;0.264;11.7;0.53;0.93;1077
15/01/2020;15:00;0.297;12.3;0.55;1.1;412
15/01/2020;16:00;0.297;12.9;0.53;0.69;147
15/01/2020;17:00;0.528;14.1;1.2;1.2;0
15/01/2020;18:00;0.594;9.24;2.54;2.53;0
15/01/2020;19:00;0.627;7.5;2.27;2.26;0
15/01/2020;20:00;0.627;6.6;1.4;1.4;0
15/01/2020;21:00;0.594;5.7;1.87;1.87;0
15/01/2020;22:00;0.627;3.6;1.26;1.26;0
15/01/2020;23:00;0.561;3.3;1.2;1.2;0
16/01/2020;00:00;0.561;2.64;0.73;0.73;0
16/01/2020;01:00;0.495;2.25;0.6;0.6;0
16/01/2020;02:00;0.297;1.95;0.57;0.56;0
16/01/2020;03:00;0.297;1.98;0.56;0.56;0
16/01/2020;04:00;0.297;1.8;0.55;0.56;0
16/01/2020;05:00;0.396;2.1;1;1;0
16/01/2020;06:00;0.363;3.9;1.8;2.7;0
16/01/2020;07:00;0.297;5.1;1.9;2.9;196
16/01/2020;08:00;0.297;9.3;1.6;2.4;916
16/01/2020;09:00;0.2805;10.8;1.2;1.8;2261
16/01/2020;10:00;0.264;12;0.51;0.9;3257
16/01/2020;11:00;0.264;12.6;0.53;0.85;3681
16/01/2020;12:00;0.264;11.1;0.49;1;3627
16/01/2020;13:00;0.264;6.6;0.53;1.05;3092
16/01/2020;14:00;0.264;11.7;0.54;0.78;2135
16/01/2020;15:00;0.297;12.3;0.53;0.92;863
16/01/2020;16:00;0.297;12.9;0.53;0.99;181
16/01/2020;17:00;0.528;14.1;1.2;1.2;0
16/01/2020;18:00;0.594;9.24;2.53;2.53;0
16/01/2020;19:00;0.627;7.5;2.26;2.26;0
16/01/2020;20:00;0.627;6.6;1.4;1.4;0
16/01/2020;21:00;0.594;5.7;1.86;1.86;0
16/01/2020;22:00;0.627;3.6;1.27;1.26;0
16/01/2020;23:00;0.561;3.3;1.2;1.2;0
17/01/2020;00:00;0.561;2.64;0.9;0.73;0
17/01/2020;01:00;0.495;2.25;0.85;0.6;0
17/01/2020;02:00;0.297;1.95;0.62;0.56;0
17/01/2020;03:00;0.297;1.98;0.6;0.57;0
17/01/2020;04:00;0.297;1.8;0.58;0.56;0
17/01/2020;05:00;0.396;2.1;1;1;0
17/01/2020;06:00;0.363;3.9;1.3;2.7;0
17/01/2020;07:00;0.297;5.1;1.9;2.9;163
17/01/2020;08:00;0.297;9.3;1.6;2.4;381
17/01/2020;09:00;0.2805;10.8;1.2;1.8;764
17/01/2020;10:00;0.264;12;0.51;0.96;1139
17/01/2020;11:00;0.264;12.6;0.53;1.03;1536
17/01/2020;12:00;0.264;11.1;0.49;0.91;1669
17/01/2020;13:00;0.264;6.6;0.53;0.85;1530
17/01/2020;14:00;0.264;11.7;0.54;0.93;1152
17/01/2020;15:00;0.297;12.3;0.53;1.1;567
17/01/2020;16:00;0.297;12.9;0.53;0.69;164
17/01/2020;17:00;0.528;14.1;1.2;1.2;0
17/01/2020;18:00;0.594;9.24;1.7;2.53;0
17/01/2020;19:00;0.627;7.5;2.83;2.26;0
17/01/2020;20:00;0.627;6.6;2.9;2.3;0
17/01/2020;21:00;0.594;5.7;3.1;2.51;0
17/01/2020;22:00;0.627;3.6;3.4;2.6;0
17/01/2020;23:00;0.561;3.3;2.8;1.8;0
18/01/2020;00:00;0.594;2.64;1.95;0.73;0
18/01/2020;01:00;0.561;2.25;1.2;0.65;0
18/01/2020;02:00;0.363;1.95;0.9;0.58;0
18/01/2020;03:00;0.3465;1.98;0.85;0.57;0
18/01/2020;04:00;0.33;1.8;0.62;0.56;0
18/01/2020;05:00;0.396;2.1;0.6;0.9;0
18/01/2020;06:00;0.363;2.4;0.58;1.9;0
18/01/2020;07:00;0.297;2.1;1;2.9;200
18/01/2020;08:00;0.297;1.95;1.3;2.4;730
18/01/2020;09:00;0.2805;1.98;1.5;1.8;1708
18/01/2020;10:00;0.231;1.8;1.7;1.2;2684
18/01/2020;11:00;0.2475;2.1;1.9;1.1;3459
18/01/2020;12:00;0.297;1.95;2.1;1.6;3720
18/01/2020;13:00;0.2805;2.25;2.15;1.8;3072
18/01/2020;14:00;0.2541;1.95;2.45;1.5;2056
18/01/2020;15:00;0.2904;2.01;2.5;1.4;756
18/01/2020;16:00;0.3102;1.8;2.51;1.55;163
18/01/2020;17:00;0.528;2.1;2.35;1.9;0
18/01/2020;18:00;0.627;2.67;2.62;2.55;0
18/01/2020;19:00;0.66;2.25;2.65;2.7;0
18/01/2020;20:00;0.627;1.95;2.7;2;0
18/01/2020;21:00;0.597;2.1;2.83;2.4;0
18/01/2020;22:00;0.561;1.8;2.9;2.5;0
18/01/2020;23:00;0.528;2.13;3.1;1.9;0
19/01/2020;00:00;0.594;0.9;1.47;1.8;0
19/01/2020;01:00;0.561;0.7;1.1;1.1;0
19/01/2020;02:00;0.363;0.6;0.9;0.73;0
19/01/2020;03:00;0.3465;0.65;0.85;0.67;0
19/01/2020;04:00;0.33;0.5;0.62;0.67;0
19/01/2020;05:00;0.396;0.7;0.6;0.59;0
19/01/2020;06:00;0.363;1.86;0.58;1.3;0
19/01/2020;07:00;0.297;1.89;1;1.9;181
19/01/2020;08:00;0.297;1.9;1.3;2.4;729
19/01/2020;09:00;0.2805;1.92;1.4;2.5;1891
19/01/2020;10:00;0.231;1.8;1.6;2.47;3126
19/01/2020;11:00;0.2475;2;1.9;2;3711
19/01/2020;12:00;0.297;2.2;2.1;2.53;3801
19/01/2020;13:00;0.2805;1.2;2.15;2.8;3337
19/01/2020;14:00;0.2541;1.95;2.45;2.1;2417
19/01/2020;15:00;0.2904;1.83;2.5;1.9;1052
19/01/2020;16:00;0.3102;1.8;2.51;2.06;214
19/01/2020;17:00;0.528;2.1;2.35;1.2;0
19/01/2020;18:00;0.627;2.7;2.62;2.57;0
19/01/2020;19:00;0.66;1.15;2.65;2.8;0
19/01/2020;20:00;0.627;1.95;2.7;2.9;0
19/01/2020;21:00;0.597;0.49;2.52;3.1;0
19/01/2020;22:00;0.561;1.8;2.1;2.87;0
19/01/2020;23:00;0.528;1.6;1.4;2.02;0
20/01/2020;00:00;0.594;2.64;0.86;0.86;0
20/01/2020;01:00;0.561;2.25;0.73;0.73;0
20/01/2020;02:00;0.363;1.95;0.6;0.9;0
20/01/2020;03:00;0.3465;1.98;0.6;0.9;0
20/01/2020;04:00;0.33;1.8;0.6;0.9;0
20/01/2020;05:00;0.396;2.1;1;1.5;0
20/01/2020;06:00;0.363;3.9;1.8;2.7;0
20/01/2020;07:00;0.297;5.1;1.9;2.9;195
20/01/2020;08:00;0.297;9.3;1.6;2.4;800
20/01/2020;09:00;0.2805;10.8;1.2;1.8;1945
20/01/2020;10:00;0.231;12;0.53;0.9;2920
20/01/2020;11:00;0.2475;12.6;0.54;0.8;3496
20/01/2020;12:00;0.297;11.1;0.53;0.95;3344
20/01/2020;13:00;0.2805;6.6;0.53;1.1;2717
20/01/2020;14:00;0.2541;11.7;0.53;1.05;1797
20/01/2020;15:00;0.2904;12.3;0.55;0.9;744
20/01/2020;16:00;0.3102;12.9;0.53;1.1;189
20/01/2020;17:00;0.528;14.1;1.2;1.8;0
20/01/2020;18:00;0.627;9.24;2.54;2.53;0
20/01/2020;19:00;0.66;7.5;2.27;2.26;0
20/01/2020;20:00;0.627;6.6;1.4;1.4;0
